ID.No,Age.rounded,Age.group,Seal.Lgth,Wght,lgth,Dist.Hgt,Dist.Wdth,Prox.Hgt,Prox.Wdth,Sft.Hgt.Prox,Sft.Hgt.Mid,Shf.Hgt.Dist
603,,,150,3.4,100.9,10,4.4,7.1,8.6,6.7,6.2,5.3
605,,,153,3.8,115,11.3,3.3,9.2,7,7,7,5.3
607,,,91,0.2,45.2,2.6,1.8,3.4,4.2,2.9,2.2,2.2
608,,,182,6.6,111.7,12,3.6,9,8.3,9.2,7.5,5.7
661,,,141,2.1,87.9,6.3,2.9,5.6,8.4,6.5,5.6,4.8
670,,,158,4,103.4,11.6,4.1,8.1,8.1,8.3,6.7,5.2
676,,,197,11.2,126.3,13.8,5.7,15.8,11.6,9.9,8.4,6.6
824,,,174,5.8,117.7,11.9,3.3,12.6,7.6,8.6,7.7,5.9
828,,,158,3.4,97.7,10.8,5.2,7.3,5.9,9.2,5.9,4.4
834,,,162,2.2,85,6.4,3.1,6.9,7.6,6.6,5.5,4.5
874,,,157,3.5,93.2,8.5,3.6,10.7,8.4,7.9,6.3,5.2
877,,,165,3.7,95.5,9.9,3.2,10.1,10.2,7.2,6,4.4
888,,,212,11.8,139.3,15.2,4.9,13.6,13.7,10.3,10.2,6.3
889,,,138,1.8,77.1,6.8,3.1,8.8,8.7,6.3,5.2,4.3
898,,,200,8.6,128.1,12.5,5.2,14,10.1,8.8,8.2,6.1
916,,,91,0.3,45.5,3.2,1.8,3.6,4.3,2.9,2.8,2.9
917,,,104,0.4,57.4,4.1,2.2,4.9,5.3,3.8,3,2.9
928,,,140,2.7,97.9,10.1,4.1,8.1,5.9,7,5.6,5
951,,,170,2.9,94.4,8.9,3.6,7.2,7.2,6.4,5,4.3
952,,,243,11,121.2,14.4,5.8,11.8,6.2,11,9.7,8.1
958,,,190,8.3,121,13.4,4.8,8.6,8.4,8.2,7.8,6.7
1073,,3,133,2.3,84.9,9.3,2.5,9.9,6.7,6.8,6.7,4.9
1143,10,3,208,10.6,134.7,14.3,3.8,12.8,8.5,9.5,8.6,6.9
